Name,Quantity,Component
Arduino UNO,1,Main microcontroller board
TMP36 Sensor,1,Analog temperature sensor
LED,3,Indicator LEDs
Resistor,3,220Ω current-limiting resistors
Breadboard,1,For circuit assembly
Jumper wires,6,Male-to-male connections
USB cable,1,Type A to B for programming and power
